id,link_s,person1_id,person2_id
172,COORDINATOR OF,5085,1877
173,LEADER OF,5085,1877
174,SPIRITUAL LEADER OF,5085,1877
175,MEETING,5085,4622
176,MEETING,5090,1358
177,ASSOCIATE OF,5090,4782
178,MEETING,5090,1356
179,MEETING,5090,1357
180,SHARED PLOT,5111,5109
181,SHARED PLOT,5111,5112
182,ASSOCIATE OF,5128,5005
183,LEADER OF,5140,4696
184,SHARED PLOT,5140,4696
185,SHARED PLOT,5142,1308
186,COMMUNICATION,5152,270
187,COORDINATOR OF,5152,270
188,TRAVEL,5157,5112
189,SHARED PLOT,5157,5112
190,TRAVEL,5157,5109
191,SHARED PLOT,5157,5109
192,FINANCIAL/LOGISTICAL SUPPORTER OF,5180,4793
193,COORDINATOR OF,5201,4696
194,SHARED PLOT,5209,6672
195,FRIEND OF,5209,6672
196,COORDINATOR OF,5224,4696
197,FINANCIAL/LOGISTICAL SUPPORTER OF,5224,4696
198,ASSOCIATE OF,5224,5005
199,FINANCIAL/LOGISTICAL SUPPORTER OF,5224,4795
200,FINANCIAL/LOGISTICAL SUPPORTER OF,5224,4794
201,COORDINATOR OF,5224,5138
202,COORDINATOR OF,5239,3723
203,FRIEND OF,5278,4798
204,COMMUNICATION,5278,4798
205,FINANCIAL/LOGISTICAL SUPPORTER OF,5278,4798
206,COORDINATOR OF,5278,4798
207,COORDINATOR OF,5279,4696
208,FINANCIAL/LOGISTICAL SUPPORTER OF,5279,4696
209,TRANSACTION,5311,5152
210,FINANCIAL/LOGISTICAL SUPPORTER OF,5325,4985
211,SHARED PLOT,5325,5141
212,FINANCIAL/LOGISTICAL SUPPORTER OF,5325,5141
213,COORDINATOR OF,5334,270
214,ASSOCIATE OF,5342,5005
215,ASSOCIATE OF,5342,4696
216,FINANCIAL/LOGISTICAL SUPPORTER OF,5424,270
217,TRAVEL,5424,270
218,EMPLOYER OF,5424,270
219,COORDINATOR OF,5462,4696
220,COMMUNICATION,5462,4696
221,FINANCIAL/LOGISTICAL SUPPORTER OF,5462,4696
222,UNCLE/AUNT OF,5584,5140
223,ASSOCIATE OF,5806,4710
224,SHARED PLOT,5869,6672
225,FRIEND OF,5869,6672
226,COORDINATOR OF,5955,5140
227,UNCLE/AUNT OF,5955,5140
228,COLLEAGUE OF,6075,6525
229,LEADER OF,6081,5224
230,SHARED PLOT,6092,5005
231,ASSOCIATE OF,6154,4696
232,SHARED PLOT,6189,6191
233,SHARED PLOT,6190,6191
234,FRIEND OF,6212,828
